"","author","title","word","n"
"247","Twain, Mark","A Connecticut Yankee in King Arthur's Court","abundance",2
"248","Twain, Mark","A Connecticut Yankee in King Arthur's Court","abundant",1
"249","Twain, Mark","A Connecticut Yankee in King Arthur's Court","abuse",1
"250","Twain, Mark","A Connecticut Yankee in King Arthur's Court","abused",2
"251","Twain, Mark","A Connecticut Yankee in King Arthur's Court","abyss",1
"252","Twain, Mark","A Connecticut Yankee in King Arthur's Court","academy",3
"253","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accent",2
"254","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accept",5
"255","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acceptance",1
"256","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accepted",2
"257","Twain, Mark","A Connecticut Yankee in King Arthur's Court","access",1
"258","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accessories",1
"259","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accident",6
"260","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accidental",1
"261","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accidents",1
"262","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accommodate",3
"263","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accommodation",1
"264","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accompanied",1
"265","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accompaniment",1
"266","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accompanying",1
"267","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accomplish",2
"268","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accomplished",2
"269","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accompt",1
"270","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accorded",1
"271","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accost",1
"272","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accosted",1
"273","Twain, Mark","A Connecticut Yankee in King Arthur's Court","account",23
"274","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accounted",1
"275","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accounting",1
"276","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accounts",1
"277","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accruing",1
"278","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accumulate",1
"279","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accuracy",2
"280","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accursed",2
"281","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accused",2
"282","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accuser",2
"283","Twain, Mark","A Connecticut Yankee in King Arthur's Court","accustomed",2
"284","Twain, Mark","A Connecticut Yankee in King Arthur's Court","ace",1
"285","Twain, Mark","A Connecticut Yankee in King Arthur's Court","achieve",1
"286","Twain, Mark","A Connecticut Yankee in King Arthur's Court","achieved",4
"287","Twain, Mark","A Connecticut Yankee in King Arthur's Court","achievement",2
"288","Twain, Mark","A Connecticut Yankee in King Arthur's Court","achievements",1
"289","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acid",3
"290","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acids",1
"291","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acknowledge",1
"292","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acquaintance",4
"293","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acquaintances",2
"294","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acquaintanceships",1
"295","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acquainted",1
"296","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acquired",2
"297","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acquirements",2
"298","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acres",7
"299","Twain, Mark","A Connecticut Yankee in King Arthur's Court","act",12
"300","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acted",1
"301","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acting",2
"302","Twain, Mark","A Connecticut Yankee in King Arthur's Court","active",5
"303","Twain, Mark","A Connecticut Yankee in King Arthur's Court","actor",1
"304","Twain, Mark","A Connecticut Yankee in King Arthur's Court","acts",3
"305","Twain, Mark","A Connecticut Yankee in King Arthur's Court","actual",5
"306","Twain, Mark","A Connecticut Yankee in King Arthur's Court","actuality",1
"307","Twain, Mark","A Connecticut Yankee in King Arthur's Court","ad",3
"308","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adam",3
"309","Twain, Mark","A Connecticut Yankee in King Arthur's Court","add",5
"310","Twain, Mark","A Connecticut Yankee in King Arthur's Court","added",14
"311","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adder",2
"312","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adding",1
"313","Twain, Mark","A Connecticut Yankee in King Arthur's Court","addition",3
"314","Twain, Mark","A Connecticut Yankee in King Arthur's Court","additional",1
"315","Twain, Mark","A Connecticut Yankee in King Arthur's Court","additions",1
"316","Twain, Mark","A Connecticut Yankee in King Arthur's Court","address",1
"317","Twain, Mark","A Connecticut Yankee in King Arthur's Court","addressed",3
"318","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adjuncts",1
"319","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adjust",2
"320","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adjusted",3
"321","Twain, Mark","A Connecticut Yankee in King Arthur's Court","administering",1
"322","Twain, Mark","A Connecticut Yankee in King Arthur's Court","administration",5
"323","Twain, Mark","A Connecticut Yankee in King Arthur's Court","admirable",2
"324","Twain, Mark","A Connecticut Yankee in King Arthur's Court","admirably",1
"325","Twain, Mark","A Connecticut Yankee in King Arthur's Court","admiration",9
"326","Twain, Mark","A Connecticut Yankee in King Arthur's Court","admire",1
"327","Twain, Mark","A Connecticut Yankee in King Arthur's Court","admired",4
"328","Twain, Mark","A Connecticut Yankee in King Arthur's Court","admiring",5
"329","Twain, Mark","A Connecticut Yankee in King Arthur's Court","admission",1
"330","Twain, Mark","A Connecticut Yankee in King Arthur's Court","admit",2
"331","Twain, Mark","A Connecticut Yankee in King Arthur's Court","admitted",4
"332","Twain, Mark","A Connecticut Yankee in King Arthur's Court","admitting",1
"333","Twain, Mark","A Connecticut Yankee in King Arthur's Court","admixture",1
"334","Twain, Mark","A Connecticut Yankee in King Arthur's Court","ado",2
"335","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adopted",1
"336","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adoration",2
"337","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adore",1
"338","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adoring",1
"339","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adout",1
"340","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adroitly",1
"341","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adulation",2
"342","Twain, Mark","A Connecticut Yankee in King Arthur's Court","advance",2
"343","Twain, Mark","A Connecticut Yankee in King Arthur's Court","advanced",3
"344","Twain, Mark","A Connecticut Yankee in King Arthur's Court","advantage",9
"345","Twain, Mark","A Connecticut Yankee in King Arthur's Court","advantaged",2
"346","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adventure",5
"347","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adventured",1
"348","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adventurer",1
"349","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adventurers",1
"350","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adventures",16
"351","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adversaries",1
"352","Twain, Mark","A Connecticut Yankee in King Arthur's Court","adversary",1
"353","Twain, Mark","A Connecticut Yankee in King Arthur's Court","advertise",1
"354","Twain, Mark","A Connecticut Yankee in King Arthur's Court","advertised",2
"355","Twain, Mark","A Connecticut Yankee in King Arthur's Court","advertisement",3
"356","Twain, Mark","A Connecticut Yankee in King Arthur's Court","advertising",5
"357","Twain, Mark","A Connecticut Yankee in King Arthur's Court","advice",3
"358","Twain, Mark","A Connecticut Yankee in King Arthur's Court","advise",2
"359","Twain, Mark","A Connecticut Yankee in King Arthur's Court","advised",2
"360","Twain, Mark","A Connecticut Yankee in King Arthur's Court","advocate",1
"361","Twain, Mark","A Connecticut Yankee in King Arthur's Court","affable",1
"362","Twain, Mark","A Connecticut Yankee in King Arthur's Court","affair",5
"363","Twain, Mark","A Connecticut Yankee in King Arthur's Court","affairs",2
"364","Twain, Mark","A Connecticut Yankee in King Arthur's Court","affected",1
"365","Twain, Mark","A Connecticut Yankee in King Arthur's Court","affection",1
"366","Twain, Mark","A Connecticut Yankee in King Arthur's Court","affectionate",1
"367","Twain, Mark","A Connecticut Yankee in King Arthur's Court","affectionately",1
"368","Twain, Mark","A Connecticut Yankee in King Arthur's Court","affirmative",1
"369","Twain, Mark","A Connecticut Yankee in King Arthur's Court","afflicted",1
"370","Twain, Mark","A Connecticut Yankee in King Arthur's Court","affluent",1
"371","Twain, Mark","A Connecticut Yankee in King Arthur's Court","afford",2
"372","Twain, Mark","A Connecticut Yankee in King Arthur's Court","afforded",1
"373","Twain, Mark","A Connecticut Yankee in King Arthur's Court","affront",1
"374","Twain, Mark","A Connecticut Yankee in King Arthur's Court","afire",2
"375","Twain, Mark","A Connecticut Yankee in King Arthur's Court","aflame",1
"376","Twain, Mark","A Connecticut Yankee in King Arthur's Court","aflash",1
"377","Twain, Mark","A Connecticut Yankee in King Arthur's Court","afore",3
